id,tema,fragmento,fonte_sugerida
alencar_intertexto_001,literatura/política,"José de Alencar foi autor de Senhora e O Guarani; confundir o escritor com José Alencar, político, cria efeito de homonímia e deslocamento intertextual.",história literária brasileira; biografia política
serra_bolinha_papel_001,política/memória discursiva,O episódio da bolinha de papel envolvendo José Serra na campanha presidencial de 2010 tornou-se memória midiática acionada em piadas políticas.,cobertura eleitoral de 2010; estudos de mídia política
muricy_pirocoptero_001,futebol/memória esportiva,O técnico Muricy Ramalho e episódios de objetos arremessados em partidas de futebol podem ser recontextualizados em chave policial para produzir humor por exagero investigativo.,imprensa esportiva; corpus de sátira futebolística
independencia_brasil_portugal_001,história/memória discursiva,"A Independência do Brasil, celebrada em 7 de setembro de 1822, costuma ser narrada como marco nacional; inverter a perspectiva para Portugal produz ironia histórica.",história do Brasil; livros didáticos; historiografia
hollywood_rio_001,cinema/Rio de Janeiro,"O Rio de Janeiro é frequentemente usado como cenário de filmes internacionais; notícias satíricas exploram esse imaginário com enredos improváveis, turismo de celebridades e clichês urbanos.",estudos de cinema e representação urbana
morro_macacos_001,Rio de Janeiro/trocadilho,"Topônimos urbanos como Morro dos Macacos podem ser explorados literalmente em textos humorísticos, criando efeito de duplo sentido entre lugar real e narrativa ficcional.",estudos culturais urbanos; corpus humorístico
maias_2012_001,apocalipse/memória discursiva,A profecia Maia de 2012 foi amplamente explorada pela mídia e pelo humor como expectativa de fim do mundo; deslocá-la para Marte cria incongruência satírica.,cobertura midiática de 2012; estudos de cultura pop
marte_fim_mundo_001,ciência/paródia,"Relatos pseudocientíficos sobre planetas, cometas e agências espaciais fictícias parodiam a linguagem de divulgação científica e simulam autoridade institucional.",estudos de divulgação científica e sátira
madrugada_escura_001,cotidiano/ciência paródica,"Medições aparentemente técnicas de fenômenos triviais, como a escuridão da madrugada, produzem humor por cientificização do óbvio e quebra de relevância.",estudos de humor e pragmática
game_of_thrones_biblia_001,cultura pop/religião,"Comparações entre obras de fantasia contemporânea e a Bíblia operam por deslocamento de registro, aproximando cultura pop, religião e mercado editorial de forma provocativa.",estudos de cultura pop e religião
bono_humanitarismo_001,celebridade/humanitarismo,"Bono, vocalista do U2, é associado a campanhas humanitárias; textos satíricos podem deslocar esse ethos de ativismo para causas banais ou absurdas.",estudos de celebridade e mídia
sites_ingressos_001,consumo/cultura digital,Sites de venda de ingressos e taxas abusivas são alvo de reclamações de consumidores; tratá-los como pandemia cria analogia hiperbólica de crítica social.,defesa do consumidor; corpus de humor digital
robossauro_sp_001,São Paulo/humor urbano,"A presença de um robossauro no trânsito de São Paulo combina ficção científica e cotidiano urbano, criando humor pela inserção de criatura absurda em problema real de mobilidade.",estudos de humor urbano; corpus satírico
usp_butanta_001,São Paulo/USP,A região do Butantã e a Universidade de São Paulo aparecem no imaginário paulistano; associá-las a criaturas artificiais produz efeito de paródia tecnocientífica.,estudos urbanos; corpus humorístico
rio20_guerra_verde_001,meio ambiente/geopolítica,A Rio+20 discutiu desenvolvimento sustentável; propor guerras ecológicas com mísseis híbridos e biocombustível produz ironia pela contradição entre sustentabilidade e violência militar.,documentos Rio+20; estudos de discurso ambiental
guerra_verde_001,oxímoro político,"Expressões como guerra verde, economia de guerra sustentável e míssil ecológico aproximam termos incompatíveis, funcionando como oxímoro satírico.",retórica política; estudos de ironia
mercado_voto_001,política/economia,"A metáfora do voto como ativo financeiro transforma eleição em mercado, permitindo satirizar compra de votos, curral eleitoral e especulação política.",estudos de discurso político; legislação eleitoral
debate_placar_001,política/futebolização,"Debates eleitorais podem ser parodiados como partidas esportivas, com placar, replay, tira-teima e comissão julgadora, deslocando a política para a lógica do espetáculo esportivo.",estudos de mídia política e futebolização da política
direitos_transmissao_futebol_001,futebol/mídia,"A disputa por direitos de transmissão do Campeonato Brasileiro envolve emissoras, clubes e audiência; sugerir Canal Rural ou TV Senado como protagonistas cria incongruência satírica.",história da mídia esportiva; imprensa
canal_rural_tvsenado_001,mídia/incongruência,Canal Rural e TV Senado têm cenografias televisivas distantes do futebol de massa; colocá-los como principais opções para transmitir campeonato cria quebra de expectativa.,estudos de televisão e mídia esportiva
marronzinhos_lapd_001,trânsito/cultura pop,"Agentes de trânsito de São Paulo, conhecidos como marronzinhos, quando comparados à polícia de Los Angeles ou a filmes de ação, produzem humor por deslocamento de autoridade e escala.",estudos urbanos; cultura pop policial
ornitorrinco_criacao_001,ciência/religião/humor,O ornitorrinco é frequentemente usado como exemplo popular de animal biologicamente estranho; atribuir sua origem a erro de planejamento divino cria humor por personificação teológica e absurdo.,divulgação científica; estudos de humor
keynote_divino_001,tecnologia/religião,"O formato keynote, típico de lançamentos tecnológicos, quando atribuído a Deus, desloca a criação da vida para uma cenografia corporativa de tecnologia.",estudos de cultura digital e religião
efarsas_001,checagem/fake news,"E-farsas é conhecido por verificar boatos e conteúdos virais; textos com a fórmula será verdade? pertencem ao gênero de checagem, não necessariamente à sátira jornalística.",página institucional do E-farsas; estudos de fact-checking
imposto_combustivel_001,economia/cotidiano,"Discussões sobre impostos em combustíveis são recorrentes no Brasil e circulam em boatos, vídeos virais e conteúdos de checagem nas redes sociais.",imprensa econômica; agências de checagem
wikipedia_jimmy_wales_001,internet/Wikipédia/sátira,"A Wikipédia é uma enciclopédia colaborativa criada por Jimmy Wales e Larry Sanger em 2001; notícias satíricas podem falsificar datas, biografias e verbetes para parodiar a lógica colaborativa da própria enciclopédia.",história da Wikipédia; estudos de cultura digital
madrugada_candela_001,ciência paródica/cotidiano,"Falar da madrugada mais escura, medir candelas, fotômetros, massa de trevas e índices de luminosidade parodia a linguagem científica aplicada a um fenômeno óbvio: a noite.","estudos de humor, pragmática e divulgação científica"
criatura_rio_001,Rio de Janeiro/humor absurdo,"A chegada de criaturas ou monstros ao Rio de Janeiro em formato de notícia aciona um script de cobertura jornalística séria aplicado a evento fantástico, típico de sátira absurda.",corpus de notícias satíricas; estudos de humor absurdo
